sample_idx,label,binary_label,prediction,correct,dominant_token,attn_img,attn_txt,attn_cross,attn_diff,attn_scalars,aitr_prob
0,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0429
1,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.04
2,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0713
3,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0435
4,miscaptioned,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0564
5,out-of-context,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0659
6,true,0,0,1,scalars,0.1635,0.1609,0.1636,0.1609,0.1851,0.0521
7,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1637,0.161,0.1849,0.0385
8,out-of-context,1,0,0,scalars,0.1635,0.1608,0.1636,0.1609,0.1852,0.0643
9,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0438
10,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1851,0.0612
11,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0521
12,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1848,0.0379
13,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0444
14,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0554
15,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.161,0.185,0.0445
16,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.161,0.185,0.0422
17,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1852,0.0672
18,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0392
19,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0418
20,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0547
21,true,0,0,1,scalars,0.1636,0.161,0.1636,0.1608,0.1851,0.0488
22,miscaptioned,1,0,0,scalars,0.1636,0.161,0.1636,0.1608,0.1851,0.0505
23,out-of-context,1,1,1,scalars,0.1636,0.1609,0.1635,0.1608,0.1853,0.1114
24,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0515
25,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0554
26,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0525
27,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1849,0.0372
28,miscaptioned,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1852,0.0602
29,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0534
30,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0599
31,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0516
32,out-of-context,1,1,1,scalars,0.1636,0.1608,0.1635,0.1608,0.1853,0.1161
33,true,0,0,1,scalars,0.1636,0.1608,0.1636,0.161,0.185,0.0425
34,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0431
35,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1851,0.0628
36,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0445
37,miscaptioned,1,0,0,scalars,0.1636,0.1609,0.1636,0.1609,0.185,0.0461
38,out-of-context,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1852,0.0706
39,true,0,0,1,scalars,0.1636,0.1609,0.1636,0.1609,0.1851,0.0545
40,miscaptioned,1,0,0,scalars,0.1636,0.1608,0.1636,0.1609,0.1852,0.0677
41,out-of-context,1,0,0,scalars,0.1636,0.1609,0.1636,0.1608,0.1852,0.0764
42,true,0,0,1,scalars,0.1636,0.1609,0.1637,0.1609,0.1848,0.0363
43,miscaptioned,1,0,0,scalars,0.1635,0.1609,0.1636,0.1608,0.1852,0.0743
44,out-of-context,1,1,1,scalars,0.1636,0.1608,0.1635,0.1609,0.1853,0.1138
45,true,0,0,1,scalars,0.1635,0.1609,0.1636,0.1608,0.1851,0.0524
