sample_id,deberta_score,entity_count,has_evidence
train_000000,0.23723954,4,1
train_000001,0.5,1,0
train_000002,0.00015120259,2,1
train_000003,0.001220282,4,1
train_000004,0.000733202,3,1
train_000005,0.5,1,0
train_000006,0.5,1,0
train_000007,0.5,1,0
train_000008,0.19838697,2,1
train_000009,0.5,2,0
train_000010,0.5,1,0
train_000011,0.5,1,0
train_000012,0.5,1,0
train_000013,0.00038640955,1,1
train_000014,0.00059783104,3,1
train_000015,0.9808668,4,1
train_000016,0.0006101603,1,1
train_000017,0.0034155063,3,1
train_000018,0.0029640032,1,1
train_000019,0.0010879134,1,1
train_000020,0.5,4,0
train_000021,0.00018237358,4,1
train_000022,0.0010377235,3,1
train_000023,0.5,3,0
train_000024,0.0013880072,1,1
train_000025,0.0011692382,3,1
train_000026,0.0006596571,2,1
train_000027,0.001905477,1,1
train_000028,1.6817852e-05,2,1
train_000029,0.5,3,0
train_000030,0.96965885,2,1
train_000031,0.0006301199,1,1
train_000032,0.05234195,4,1
train_000033,0.0017802101,2,1
train_000034,0.5,2,0
train_000035,0.5,1,0
train_000036,0.5,1,0
train_000037,0.03336214,2,1
train_000038,0.0022332235,2,1
train_000039,0.5,2,0
train_000040,0.0039984244,1,1
train_000041,0.5,2,0
train_000042,0.5,4,0
train_000043,0.5,2,0
train_000044,0.5,3,0
train_000045,0.0014528689,2,1
train_000046,0.0041296594,4,1
train_000047,0.5,3,0
train_000048,0.0019422743,2,1
train_000049,0.5,4,0
train_000050,0.5,1,0
train_000051,0.5,1,0
train_000052,0.0039426466,4,1
train_000053,0.00030767612,2,1
train_000054,0.5,3,0
train_000055,0.0032119795,4,1
train_000056,0.013897171,3,1
train_000057,0.5,1,0
train_000058,0.5,4,0
train_000059,0.5,1,0
train_000060,0.0043317648,3,1
train_000061,0.5,2,0
train_000062,0.7230147,2,1
train_000063,0.5,2,0
train_000064,0.5,1,0
train_000065,0.5,1,0
train_000066,0.011955283,2,1
train_000067,0.5,4,0
train_000068,0.5,2,0
train_000069,0.004052356,3,1
train_000070,0.5,2,0
train_000071,0.5,1,0
train_000072,0.00064996135,1,1
train_000073,0.5,3,0
train_000074,0.0028847202,4,1
train_000075,0.002951468,3,1
train_000076,0.5,4,0
train_000077,0.00064713764,1,1
train_000078,0.5,1,0
train_000079,0.0003825588,3,1
train_000080,0.007547749,3,1
train_000081,0.14123309,3,1
train_000082,0.0029945616,3,1
train_000083,0.0022926892,4,1
train_000084,0.5,3,0
train_000085,0.00028028575,2,1
train_000086,0.00035829135,2,1
train_000087,0.00060570065,3,1
train_000088,0.00033870764,2,1
train_000089,0.5,1,0
train_000090,0.5,1,0
train_000091,0.00023158932,1,1
train_000092,0.0014586028,3,1
train_000093,0.0027189916,2,1
train_000094,0.5,4,0
train_000095,0.5,1,0
train_000096,0.5,2,0
train_000097,0.0018840102,2,1
train_000098,0.5,1,0
train_000099,0.99720806,1,1
train_000100,0.5,1,0
train_000101,0.5,1,0
train_000102,0.5,2,0
train_000103,0.5,4,0
train_000104,0.5,4,0
train_000105,0.5,2,0
train_000106,0.00011645986,2,1
train_000107,0.003738202,1,1
train_000108,4.314089e-05,1,1
train_000109,0.5,3,0
train_000110,0.00013033632,1,1
train_000111,0.0015058294,2,1
train_000112,0.00128842,1,1
train_000113,0.00010677265,3,1
train_000114,0.00086984865,4,1
train_000115,0.0004047661,1,1
train_000116,0.5,3,0
train_000117,0.012280708,4,1
