idx,sample_id,image_path,text_source,image_source,fake_cls,gt_answers,label
0,train_000000,/real/bbc_test_500/bbc_test_0.png,VisualNews,VisualNews,original,True,0
1,train_000001,/real/bbc_test_500/bbc_test_1.png,VisualNews,VisualNews,original,True,0
2,train_000002,/real/bbc_test_500/bbc_test_2.png,VisualNews,VisualNews,original,True,0
3,train_000003,/real/bbc_test_500/bbc_test_3.png,VisualNews,VisualNews,original,True,0
4,train_000004,/real/bbc_test_500/bbc_test_4.png,VisualNews,VisualNews,original,True,0
5,train_000005,/real/bbc_test_500/bbc_test_5.png,VisualNews,VisualNews,original,True,0
6,train_000006,/real/bbc_test_500/bbc_test_6.png,VisualNews,VisualNews,original,True,0
7,train_000007,/real/bbc_test_500/bbc_test_7.png,VisualNews,VisualNews,original,True,0
8,train_000008,/real/bbc_test_500/bbc_test_8.png,VisualNews,VisualNews,original,True,0
9,train_000009,/real/bbc_test_500/bbc_test_9.png,VisualNews,VisualNews,original,True,0
10,train_000010,/real/bbc_test_500/bbc_test_10.png,VisualNews,VisualNews,original,True,0
11,train_000011,/real/bbc_test_500/bbc_test_11.png,VisualNews,VisualNews,original,True,0
12,train_000012,/real/bbc_test_500/bbc_test_12.png,VisualNews,VisualNews,original,True,0
13,train_000013,/real/bbc_test_500/bbc_test_13.png,VisualNews,VisualNews,original,True,0
14,train_000014,/real/bbc_test_500/bbc_test_14.png,VisualNews,VisualNews,original,True,0
15,train_000015,/real/bbc_test_500/bbc_test_15.png,VisualNews,VisualNews,original,True,0
16,train_000016,/real/bbc_test_500/bbc_test_16.png,VisualNews,VisualNews,original,True,0
17,train_000017,/real/bbc_test_500/bbc_test_17.png,VisualNews,VisualNews,original,True,0
18,train_000018,/real/bbc_test_500/bbc_test_18.png,VisualNews,VisualNews,original,True,0
19,train_000019,/real/bbc_test_500/bbc_test_19.png,VisualNews,VisualNews,original,True,0
20,train_000020,/real/bbc_test_500/bbc_test_20.png,VisualNews,VisualNews,original,True,0
21,train_000021,/real/bbc_test_500/bbc_test_21.png,VisualNews,VisualNews,original,True,0
22,train_000022,/real/bbc_test_500/bbc_test_22.png,VisualNews,VisualNews,original,True,0
23,train_000023,/real/bbc_test_500/bbc_test_23.png,VisualNews,VisualNews,original,True,0
24,train_000024,/real/bbc_test_500/bbc_test_24.png,VisualNews,VisualNews,original,True,0
25,train_000025,/real/bbc_test_500/bbc_test_25.png,VisualNews,VisualNews,original,True,0
26,train_000026,/real/bbc_test_500/bbc_test_26.png,VisualNews,VisualNews,original,True,0
27,train_000027,/real/bbc_test_500/bbc_test_27.png,VisualNews,VisualNews,original,True,0
28,train_000028,/real/bbc_test_500/bbc_test_28.png,VisualNews,VisualNews,original,True,0
29,train_000029,/real/bbc_test_500/bbc_test_29.png,VisualNews,VisualNews,original,True,0
30,train_000030,/real/bbc_test_500/bbc_test_30.png,VisualNews,VisualNews,original,True,0
31,train_000031,/real/bbc_test_500/bbc_test_31.png,VisualNews,VisualNews,original,True,0
32,train_000032,/real/bbc_test_500/bbc_test_32.png,VisualNews,VisualNews,original,True,0
