variant,epoch,lr_new,lr_warm,train_loss,val_loss,val_acc,val_f1,val_auc
A,1,0.0001,1e-05,0.3923185293674469,0.3703144850730896,0.594,0.6261510128913443,0.7524702380952382
A,2,9.931806517013612e-05,9.931806517013612e-06,0.3729608731269836,0.3712489538192749,0.633,0.6860564585115483,0.7567803571428571
A,3,9.729086208503174e-05,9.729086208503174e-06,0.3693851101398468,0.3610552453994751,0.599,0.6327838827838828,0.7584607142857143
A,4,9.397368756032445e-05,9.397368756032445e-06,0.36809482431411744,0.3616988801956177,0.596,0.6266173752310537,0.7594142857142857
A,5,8.945702546981969e-05,8.94570254698197e-06,0.3681406669616699,0.35687100744247435,0.613,0.6538461538461539,0.7601988095238095
A,6,8.386407858128706e-05,8.386407858128707e-06,0.36451921582221986,0.35521749210357667,0.628,0.6745406824146981,0.7607226190476191
A,1,5e-05,1e-05,0.3926266324520111,0.3704631576538086,0.593,0.6248847926267281,0.7520988095238095
A,2,4.965903258506806e-05,9.931806517013612e-06,0.37309129190444945,0.3712487094402313,0.631,0.6835334476843911,0.7566511904761904
A,3,4.864543104251587e-05,9.729086208503174e-06,0.3695482573509216,0.3612727246284485,0.5985,0.6321575813101237,0.758397619047619
A,4,4.698684378016222e-05,9.397368756032445e-06,0.36829515218734743,0.3620049970149994,0.595,0.6253469010175763,0.7593238095238095
A,5,4.4728512734909844e-05,8.94570254698197e-06,0.3683834729194641,0.35719144248962403,0.6115,0.6520376175548589,0.7601107142857142
A,6,4.193203929064353e-05,8.386407858128707e-06,0.36477483105659486,0.35557601308822634,0.6245,0.6698901098901099,0.7606333333333333
B,1,0.0001,1e-05,0.3636837058067322,0.33242796301841737,0.7405,0.7951046190288196,0.7953166666666667
B,2,9.931806517013612e-05,9.931806517013612e-06,0.3420860913991928,0.329113924741745,0.7225,0.7757575757575758,0.8044119047619047
B,3,9.729086208503174e-05,9.729086208503174e-06,0.3372371417284012,0.3173345017433167,0.7325,0.7862564922093488,0.8136440476190476
B,4,9.397368756032445e-05,9.397368756032445e-06,0.33197588205337525,0.31777909898757933,0.737,0.7914353687549563,0.8195369047619048
B,5,8.945702546981969e-05,8.94570254698197e-06,0.32663176870346067,0.3177945008277893,0.74,0.7946287519747235,0.8270154761904762
C,1,0.0001,1e-05,0.38460046076774596,0.36724123620986937,0.5835,0.608368594264222,0.7351333333333333
C,2,9.931806517013612e-05,9.931806517013612e-06,0.37128203320503234,0.3648501169681549,0.5885,0.6166744294364229,0.7426607142857143
C,3,9.729086208503174e-05,9.729086208503174e-06,0.368608517408371,0.3608108742237091,0.6105,0.6505159264244056,0.7434095238095239
C,4,9.397368756032445e-05,9.397368756032445e-06,0.3664482731819153,0.35727965784072874,0.613,0.6541554959785523,0.7475107142857143
C,5,8.945702546981969e-05,8.94570254698197e-06,0.3653110773563385,0.3564601082801819,0.6085,0.6452197553239691,0.7487464285714287
C,6,8.386407858128706e-05,8.386407858128707e-06,0.3627620460987091,0.3565024657249451,0.654,0.7156943303204601,0.7519083333333334
C,7,7.734740790612135e-05,7.734740790612135e-06,0.36195318746566774,0.35373871493339537,0.624,0.6716157205240174,0.7514583333333333
C,8,7.008477123264848e-05,7.008477123264849e-06,0.36099754357337954,0.352008261680603,0.642,0.6981450252951096,0.7536107142857142
C,9,6.227427435703997e-05,6.227427435703997e-06,0.358653906583786,0.3518031506538391,0.6345,0.6845058264997842,0.7590166666666667
C,10,5.4128967273616625e-05,5.412896727361663e-06,0.35776330733299255,0.3512962646484375,0.628,0.675392670157068,0.7605940476190476
D,1,0.0001,1e-05,0.3680836822986603,0.3387883293628693,0.7205,0.7709954936501434,0.7957642857142857
D,2,9.931806517013612e-05,9.931806517013612e-06,0.34419096672534943,0.32579415559768676,0.745,0.8017107309486781,0.8019285714285713
D,3,9.729086208503174e-05,9.729086208503174e-06,0.33589909052848815,0.3182393555641174,0.736,0.7908082408874801,0.8107761904761905
D,4,9.397368756032445e-05,9.397368756032445e-06,0.3295243046283722,0.31275874614715576,0.725,0.7775080906148867,0.8191916666666667
D,5,8.945702546981969e-05,8.94570254698197e-06,0.32783205997943876,0.3111513915061951,0.7295,0.7821184051550544,0.8222880952380953
D,6,8.386407858128706e-05,8.386407858128707e-06,0.324961231470108,0.30902581310272215,0.732,0.7843925985518906,0.827075
