sample_idx,fake_cls,label,prediction,correct,dominant_token,attn_img,attn_txt,attn_cross,attn_diff,attn_scalars,aitr_prob,clip_prob,ateeq_score,deberta_score
0,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.9044,0.8039,0.5678,0.5
1,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1832,0.9403,0.9269,0.8572,0.5
2,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1618,0.1827,0.5,0.0011,0.4193,0.5
3,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1619,0.1825,0.33,0.0036,0.1387,0.0027
4,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1825,0.3878,0.0276,0.2051,0.5
5,original,0,0,1,scalars,0.1638,0.1617,0.1637,0.1618,0.1827,0.4106,0.0029,0.306,0.0003
6,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1824,0.3654,0.0052,0.1522,0.0349
7,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1822,0.2882,0.0075,0.0176,0.5
8,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1824,0.436,0.156,0.095,0.0002
9,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.7381,0.0005,0.8684,0.0071
10,original,0,1,0,scalars,0.1639,0.1617,0.1636,0.1617,0.1828,0.9093,0.9737,0.3503,0.3268
11,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1618,0.1829,0.5724,0.0143,0.5185,0.5
12,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1618,0.1828,0.8532,0.6771,0.3575,0.0011
13,original,0,0,1,scalars,0.1639,0.1618,0.1637,0.1618,0.1823,0.287,0.0001,0.0518,0.5
14,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1829,0.6678,0.0312,0.6512,0.0014
15,original,0,0,1,scalars,0.1637,0.1615,0.1636,0.1618,0.183,0.5803,0.0,0.5841,0.0077
16,original,0,0,1,scalars,0.1639,0.1617,0.1636,0.1618,0.1826,0.4655,0.0058,0.3403,0.5
17,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1824,0.3701,0.0523,0.1066,0.0001
18,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1824,0.3312,0.0091,0.1039,0.5
19,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1823,0.2846,0.0017,0.0388,0.5
20,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1823,0.3233,0.0428,0.0389,0.9575
21,original,0,0,1,scalars,0.1638,0.1617,0.1636,0.1617,0.1829,0.5683,0.0024,0.5188,0.274
22,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1822,0.3229,0.0345,0.0415,0.015
23,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1823,0.2972,0.0002,0.0524,0.5
24,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1619,0.1824,0.2897,0.0001,0.0766,0.5
25,original,0,1,0,scalars,0.1638,0.1615,0.1636,0.1618,0.183,0.7916,0.2251,0.6944,0.0028
26,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1616,0.1831,0.7861,0.1078,0.7976,0.5
27,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1619,0.1826,0.3871,0.0002,0.2478,0.0016
28,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1618,0.1828,0.5708,0.0326,0.4907,0.5
29,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1824,0.3333,0.0074,0.119,0.0018
30,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1823,0.3017,0.0013,0.076,0.0534
31,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.4183,0.0213,0.2603,0.5
32,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.4026,0.0021,0.2589,0.5
33,original,0,1,0,scalars,0.1638,0.1617,0.1637,0.1618,0.1827,0.9057,0.9891,0.3057,0.9799
34,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1618,0.1828,0.5488,0.0943,0.4016,0.0048
35,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1829,0.9217,0.9826,0.49,0.0014
36,original,0,1,0,scalars,0.1638,0.1615,0.1635,0.1618,0.1831,0.8576,0.3504,0.8238,0.7611
37,original,0,1,0,scalars,0.1638,0.1616,0.1635,0.1618,0.1831,0.7798,0.0196,0.9353,0.5
38,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.39,0.0021,0.2524,0.0055
39,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.7569,0.0103,0.8781,0.0071
40,original,0,1,0,scalars,0.1639,0.1617,0.1637,0.1617,0.1827,0.8335,0.77,0.1913,0.0211
41,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.8074,0.191,0.7601,0.0003
42,original,0,1,0,scalars,0.1638,0.1615,0.1636,0.1618,0.1831,0.8358,0.3151,0.7724,0.002
43,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1829,0.6206,0.0171,0.6158,0.0449
44,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.699,0.0007,0.8055,0.5
45,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1618,0.1829,0.5374,0.0001,0.5055,0.0961
46,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.6266,0.0001,0.6573,0.5
47,original,0,1,0,scalars,0.1638,0.1615,0.1635,0.1618,0.1831,0.7693,0.0008,0.9653,0.0018
48,original,0,0,1,scalars,0.1638,0.1617,0.1636,0.1617,0.1828,0.5407,0.0127,0.4622,0.5
49,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.7128,0.0206,0.7685,0.5
50,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1618,0.1828,0.541,0.0062,0.4694,0.0001
51,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1824,0.3114,0.0,0.1038,0.0783
52,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1618,0.1829,0.5797,0.0112,0.5415,0.5
53,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1824,0.3269,0.0017,0.1359,0.0005
54,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.7849,0.1222,0.8366,0.5
55,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1831,0.9302,0.9182,0.7315,0.5
56,original,0,0,1,scalars,0.1639,0.1618,0.1637,0.1618,0.1824,0.3513,0.0048,0.1621,0.0003
57,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1619,0.1826,0.446,0.005,0.3233,0.0015
58,original,0,0,1,scalars,0.1639,0.1617,0.1636,0.1618,0.1827,0.4539,0.0001,0.3709,0.001
59,original,0,0,1,scalars,0.1638,0.1616,0.1636,0.1618,0.1829,0.4975,0.0,0.4789,0.0139
60,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1618,0.1828,0.5514,0.0036,0.4965,0.0046
61,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1823,0.2907,0.0013,0.0532,0.0011
62,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1825,0.3679,0.0,0.2254,0.5
63,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1824,0.3083,0.002,0.1054,0.0019
64,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.1829,0.6412,0.0047,0.6434,0.0009
65,original,0,0,1,scalars,0.1638,0.1617,0.1637,0.1618,0.1827,0.4399,0.0043,0.3251,0.5
66,original,0,1,0,scalars,0.1638,0.1615,0.1636,0.1618,0.1831,0.711,0.0,0.8426,0.5
67,original,0,1,0,scalars,0.1638,0.1615,0.1636,0.1618,0.1831,0.9188,0.8402,0.6664,0.0003
68,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1823,0.2926,0.0035,0.0517,0.8894
69,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1822,0.2812,0.0027,0.0192,0.0021
70,original,0,0,1,scalars,0.1639,0.1617,0.1636,0.1618,0.1826,0.4113,0.0001,0.2857,0.253
71,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1618,0.1826,0.3709,0.0,0.2446,0.9759
72,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1824,0.3051,0.0075,0.1028,0.0014
73,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1618,0.1828,0.492,0.002,0.428,0.0001
74,original,0,0,1,scalars,0.1639,0.1616,0.1637,0.1619,0.1825,0.3583,0.0003,0.1994,0.5
75,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1619,0.1824,0.3324,0.0005,0.1357,0.7726
76,original,0,1,0,scalars,0.1638,0.1617,0.1636,0.1617,0.1829,0.647,0.017,0.6224,0.0028
77,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1824,0.3111,0.0088,0.0948,0.0008
78,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1827,0.4974,0.0973,0.3103,0.5
79,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.4251,0.0077,0.2777,0.9408
80,original,0,1,0,scalars,0.1638,0.1616,0.1636,0.1617,0.183,0.8683,0.6417,0.5552,0.5
81,original,0,0,1,scalars,0.1639,0.1616,0.1636,0.1619,0.1827,0.4278,0.0008,0.329,0.5
82,original,0,0,1,scalars,0.1639,0.1617,0.1636,0.1617,0.1828,0.5993,0.055,0.5182,0.96
83,original,0,1,0,scalars,0.1639,0.1616,0.1636,0.1618,0.1829,0.8863,0.7477,0.5046,0.0006
84,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1824,0.3361,0.0008,0.1335,0.0486
85,original,0,0,1,scalars,0.1639,0.1618,0.1637,0.1618,0.1823,0.2906,0.0017,0.0429,0.5
86,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1825,0.3264,0.0,0.1644,0.0001
87,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1823,0.3231,0.0239,0.0785,0.4244
88,original,0,0,1,scalars,0.1639,0.1617,0.1637,0.1618,0.1826,0.4366,0.003,0.2968,0.5
89,original,0,1,0,scalars,0.1638,0.1617,0.1636,0.1617,0.183,0.6739,0.0611,0.6515,0.5
90,original,0,0,1,scalars,0.164,0.1617,0.1637,0.1619,0.1823,0.3134,0.0008,0.0984,0.5
